STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SEX,Sex,AGE,Age,TENURE,Job tenure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_FREQ(1.0),Employment by job tenure intervals - frequency,I,AUT,Austria,TENURE_EMP,Employment tenure,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,Y_1T9,From 1 to 9 years,A,Annual,2022,,44.582.027.849.577,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_FREQ(1.0),Employment by job tenure intervals - frequency,I,BEL,Belgium,TENURE_EMP,Employment tenure,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,Y_1T9,From 1 to 9 years,A,Annual,2022,,422.351.256.723.945,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_FREQ(1.0),Employment by job tenure intervals - frequency,I,CZE,Czechia,TENURE_EMP,Employment tenure,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,Y_1T9,From 1 to 9 years,A,Annual,2022,,445.009.025.456.119,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_FREQ(1.0),Employment by job tenure intervals - frequency,I,DNK,Denmark,TENURE_EMP,Employment tenure,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,Y_1T9,From 1 to 9 years,A,Annual,2022,,504.694.845.598.418,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_FREQ(1.0),Employment by job tenure intervals - frequency,I,EST,Estonia,TENURE_EMP,Employment tenure,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,Y_1T9,From 1 to 9 years,A,Annual,2022,,490.890.859.800.126,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_FREQ(1.0),Employment by job tenure intervals - frequency,I,FIN,Finland,TENURE_EMP,Employment tenure,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,Y_1T9,From 1 to 9 years,A,Annual,2022,,442.730.458.927.583,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_FREQ(1.0),Employment by job tenure intervals - frequency,I,FRA,France,TENURE_EMP,Employment tenure,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,Y_1T9,From 1 to 9 years,A,Annual,2022,,416.459.118.286.851,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_FREQ(1.0),Employment by job tenure intervals - frequency,I,DEU,Germany,TENURE_EMP,Employment tenure,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,Y_1T9,From 1 to 9 years,A,Annual,2022,,437.522.340.473.145,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_FREQ(1.0),Employment by job tenure intervals - frequency,I,GRC,Greece,TENURE_EMP,Employment tenure,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,Y_1T9,From 1 to 9 years,A,Annual,2022,,361.110.924.886.908,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_FREQ(1.0),Employment by job tenure intervals - frequency,I,HUN,Hungary,TENURE_EMP,Employment tenure,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,Y_1T9,From 1 to 9 years,A,Annual,2022,,50.562.729.246.682,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_FREQ(1.0),Employment by job tenure intervals - frequency,I,IRL,Ireland,TENURE_EMP,Employment tenure,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,Y_1T9,From 1 to 9 years,A,Annual,2022,,457.748.305.824.026,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_FREQ(1.0),Employment by job tenure intervals - frequency,I,ITA,Italy,TENURE_EMP,Employment tenure,PT_POP_SUB,Percentage of population in the same subgroup,_T,Total,_T,Total,Y_1T9,From 1 to 9 years,A,Annual,2022,,377.718.785.993.557,,A,Normal value,0,Units,1,One
